mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_set_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,cpu_set_2,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,explode
13,7,1800,5736,1,15,9,11064,2984,2,0.0,0.38,0.34,0.0,0.0,0.0,0.0,0.0,False
24,20,2664,16416,1,24,20,7480,11448,2,0.0,0.45,0.4,0.0,0.0,0.0,0.0,0.0,False
18,14,16416,8248,1,6,1,808,1544,2,0.0,0.44,0.35,0.0,0.0,0.0,0.0,0.0,False
8,4,6968,328,1,18,14,15840,3112,2,0.0,0.29,0.37,0.0,0.0,0.0,0.0,0.0,False
15,10,12960,7224,1,2,0,1672,152,2,0.0,0.46,0.3,0.0,0.0,0.0,0.0,0.0,False
3,0,40,568,1,6,1,2600,1736,2,0.0,0.31,0.37,0.0,0.0,0.0,0.0,0.0,False
10,4,296,408,1,20,18,6712,9144,2,0.0,0.26,0.4,0.0,0.0,0.0,0.0,0.0,False
15,10,11064,1544,1,8,2,6456,1288,2,0.0,0.34,0.38,0.0,0.0,0.0,0.0,0.0,False
13,7,4392,4584,1,24,20,7992,15264,2,0.0,0.36,0.45,0.0,0.0,0.0,0.0,0.0,False
13,8,10680,4008,1,2,0,968,328,2,0.0,0.39,0.28,0.0,0.0,0.0,0.0,0.0,False
15,9,5160,3112,1,15,9,1736,296,2,0.0,0.32,0.26,0.0,0.0,0.0,0.0,0.0,False
19,17,11064,3624,1,26,20,8504,5160,2,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,False
3,0,808,152,1,6,1,2216,1384,2,0.0,0.26,0.37,0.0,0.0,0.0,0.0,0.0,False
10,4,2536,696,1,11,6,6712,2280,2,0.0,0.29,0.34,0.0,0.0,0.0,0.0,0.0,False
10,4,2216,2408,1,15,12,5992,5992,2,0.0,0.34,0.39,0.0,0.0,0.0,0.0,0.0,False
5,0,2984,712,1,20,17,4776,3112,2,0.0,0.35,0.31,0.0,0.0,0.0,0.0,0.0,False
2,0,208,1224,1,22,19,5992,7480,2,0.0,0.35,0.36,0.0,0.0,0.0,0.0,0.0,False
