mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_set_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,cpu_set_2,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,explode
15,9,7736,5736,"1-3,5-7",11,6,7992,1736,"1-3,5-7",0.0,0.29,0.28,0.04,0.0,0.04,0.06,0.06,False
15,12,10296,7224,"1-3,5-7",4,0,1544,1256,"1-3,5-7",0.0,0.34,0.3,0.05,0.0,0.05,0.06,0.06,False
20,17,9912,2152,"1-3,5-7",13,7,3880,5736,"1-3,5-7",0.0,0.31,0.27,0.04,0.0,0.04,0.06,0.05,False
22,19,22152,9144,"1-3,5-7",24,20,13536,15264,"1-3,5-7",0.0,0.36,0.34,0.05,0.0,0.05,0.07,0.07,False
2,0,1608,840,"1-3,5-7",15,9,11064,6712,"1-3,5-7",0.0,0.32,0.29,0.04,0.0,0.04,0.06,0.06,False
15,10,2856,7992,"1-3,5-7",18,14,14688,2536,"1-3,5-7",0.0,0.32,0.29,0.04,0.0,0.04,0.06,0.06,False
15,10,10296,2536,"1-3,5-7",22,19,1384,5160,"1-3,5-7",0.0,0.26,0.25,0.04,0.0,0.04,0.05,0.05,False
5,0,3112,712,"1-3,5-7",18,14,7736,3880,"1-3,5-7",0.0,0.28,0.27,0.04,0.0,0.04,0.06,0.06,False
18,15,5544,5992,"1-3,5-7",2,0,376,208,"1-3,5-7",0.0,0.28,0.21,0.04,0.0,0.04,0.05,0.04,False
6,1,808,568,"1-3,5-7",19,17,696,904,"1-3,5-7",0.0,0.24,0.2,0.03,0.0,0.03,0.04,0.04,False
20,17,7480,4264,"1-3,5-7",13,8,6456,1384,"1-3,5-7",0.0,0.28,0.24,0.04,0.0,0.04,0.05,0.05,False
18,15,9912,4264,"1-3,5-7",8,2,4584,776,"1-3,5-7",0.0,0.27,0.26,0.04,0.0,0.04,0.05,0.05,False
4,0,3496,56,"1-3,5-7",4,0,1064,224,"1-3,5-7",0.0,0.22,0.21,0.03,0.0,0.03,0.04,0.04,False
15,11,1992,6712,"1-3,5-7",13,8,9528,3624,"1-3,5-7",0.0,0.31,0.29,0.04,0.0,0.04,0.06,0.06,False
7,2,472,744,"1-3,5-7",11,6,6968,4008,"1-3,5-7",0.0,0.3,0.24,0.04,0.0,0.04,0.05,0.05,False
25,20,28336,8248,"1-3,5-7",24,20,14688,19080,"1-3,5-7",0.0,0.41,0.34,0.06,0.0,0.06,0.07,0.07,False
13,8,4968,120,"1-3,5-7",20,17,11448,6968,"1-3,5-7",0.0,0.31,0.23,0.04,0.0,0.04,0.05,0.05,False
15,9,2600,6712,"1-3,5-7",18,14,6200,8760,"1-3,5-7",0.0,0.33,0.3,0.04,0.0,0.04,0.06,0.06,False
4,0,3240,208,"1-3,5-7",4,0,208,1192,"1-3,5-7",0.0,0.27,0.24,0.04,0.0,0.04,0.05,0.05,False
13,7,10680,5992,"1-3,5-7",18,14,12216,5352,"1-3,5-7",0.0,0.32,0.3,0.04,0.0,0.04,0.06,0.06,False
15,12,5544,5992,"1-3,5-7",11,6,1736,4264,"1-3,5-7",0.0,0.3,0.28,0.04,0.0,0.04,0.06,0.06,False
3,0,1480,648,"1-3,5-7",13,7,2728,2088,"1-3,5-7",0.0,0.27,0.25,0.04,0.0,0.04,0.05,0.05,False
15,12,6456,5992,"1-3,5-7",13,8,9144,5992,"1-3,5-7",0.0,0.31,0.31,0.04,0.0,0.04,0.06,0.06,False
19,17,10680,13536,"1-3,5-7",8,4,6456,2664,"1-3,5-7",0.0,0.37,0.3,0.05,0.0,0.05,0.06,0.06,False
15,9,9144,3368,"1-3,5-7",2,0,376,776,"1-3,5-7",0.0,0.28,0.27,0.04,0.0,0.04,0.05,0.05,False
20,18,9912,11832,"1-3,5-7",15,10,12216,6200,"1-3,5-7",0.0,0.36,0.34,0.05,0.0,0.05,0.07,0.07,False
3,0,1608,840,"1-3,5-7",22,19,11448,10680,"1-3,5-7",0.0,0.34,0.28,0.05,0.0,0.05,0.06,0.06,False
6,1,3624,776,"1-3,5-7",7,2,4584,1064,"1-3,5-7",0.0,0.28,0.27,0.04,0.0,0.04,0.06,0.05,False
15,9,9528,7480,"1-3,5-7",20,18,12576,3240,"1-3,5-7",0.0,0.33,0.29,0.04,0.0,0.04,0.06,0.06,False
26,20,6712,8248,"1-3,5-7",22,19,1384,10296,"1-3,5-7",0.0,0.3,0.29,0.04,0.0,0.04,0.06,0.06,False
26,20,23688,376,"1-3,5-7",13,8,3880,4776,"1-3,5-7",0.0,0.28,0.27,0.04,0.0,0.04,0.06,0.05,False
25,20,6200,17568,"1-3,5-7",18,15,16416,2280,"1-3,5-7",0.0,0.37,0.27,0.05,0.0,0.05,0.06,0.05,False
15,10,13536,1416,"1-3,5-7",25,20,14112,5544,"1-3,5-7",0.0,0.3,0.26,0.04,0.0,0.04,0.06,0.05,False
