mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_set_1,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,explode
2,0,1544,712,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
6,1,3624,1032,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
15,10,5736,136,"1-3,5-7",0.0,0.2,0.03,0.03,0.0,0.01,0.0,0.0,False
26,20,14112,14112,"1-3,5-7",0.0,0.36,0.05,0.05,0.0,0.02,0.0,0.0,False
15,11,840,680,"1-3,5-7",0.0,0.2,0.03,0.03,0.0,0.01,0.0,0.0,False
22,19,22920,15264,"1-3,5-7",0.0,0.4,0.05,0.05,0.0,0.03,0.0,0.0,False
20,17,14688,13536,"1-3,5-7",0.0,0.37,0.05,0.05,0.0,0.02,0.0,0.0,False
15,11,2280,7992,"1-3,5-7",0.0,0.31,0.04,0.04,0.0,0.02,0.0,0.0,False
2,0,1480,840,"1-3,5-7",0.0,0.26,0.03,0.03,0.0,0.02,0.0,0.0,False
8,2,680,968,"1-3,5-7",0.0,0.23,0.03,0.03,0.0,0.02,0.0,0.0,False
18,15,1608,12960,"1-3,5-7",0.0,0.32,0.04,0.04,0.0,0.02,0.0,0.0,False
7,2,472,840,"1-3,5-7",0.0,0.23,0.03,0.03,0.0,0.02,0.0,0.0,False
22,19,14688,7480,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
13,7,4584,2536,"1-3,5-7",0.0,0.24,0.03,0.03,0.0,0.02,0.0,0.0,False
25,20,13536,17568,"1-3,5-7",0.0,0.38,0.05,0.05,0.0,0.03,0.0,0.0,False
19,17,11832,1544,"1-3,5-7",0.0,0.26,0.04,0.04,0.0,0.02,0.0,0.0,False
15,9,552,6712,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
10,4,3624,2728,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
4,0,2856,208,"1-3,5-7",0.0,0.22,0.03,0.03,0.0,0.01,0.0,0.0,False
13,7,3624,1800,"1-3,5-7",0.0,0.23,0.03,0.03,0.0,0.02,0.0,0.0,False
18,14,10680,4584,"1-3,5-7",0.0,0.29,0.04,0.04,0.0,0.02,0.0,0.0,False
18,14,2600,2856,"1-3,5-7",0.0,0.23,0.03,0.03,0.0,0.02,0.0,0.0,False
15,11,4008,4264,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
19,17,11064,6456,"1-3,5-7",0.0,0.29,0.04,0.04,0.0,0.02,0.0,0.0,False
13,8,7480,120,"1-3,5-7",0.0,0.22,0.03,0.03,0.0,0.01,0.0,0.0,False
5,0,3624,776,"1-3,5-7",0.0,0.26,0.04,0.04,0.0,0.02,0.0,0.0,False
8,2,968,256,"1-3,5-7",0.0,0.2,0.03,0.03,0.0,0.01,0.0,0.0,False
8,4,5352,1544,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
18,15,16416,11064,"1-3,5-7",0.0,0.36,0.05,0.05,0.0,0.02,0.0,0.0,False
13,8,3240,2088,"1-3,5-7",0.0,0.23,0.03,0.03,0.0,0.02,0.0,0.0,False
25,20,9912,19080,"1-3,5-7",0.0,0.36,0.05,0.05,0.0,0.02,0.0,0.0,False
5,0,328,1256,"1-3,5-7",0.0,0.26,0.03,0.03,0.0,0.02,0.0,0.0,False
10,4,5736,2344,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
26,20,10296,1544,"1-3,5-7",0.0,0.24,0.03,0.03,0.0,0.02,0.0,0.0,False
13,7,4776,2472,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
8,4,1800,2216,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
3,0,2280,712,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
20,18,15840,632,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
7,2,4968,208,"1-3,5-7",0.0,0.22,0.03,0.03,0.0,0.02,0.0,0.0,False
4,0,256,456,"1-3,5-7",0.0,0.22,0.03,0.03,0.0,0.01,0.0,0.0,False
26,20,1192,9528,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
8,2,3112,520,"1-3,5-7",0.0,0.24,0.03,0.03,0.0,0.02,0.0,0.0,False
20,17,14688,3624,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
19,17,16416,280,"1-3,5-7",0.0,0.26,0.03,0.03,0.0,0.02,0.0,0.0,False
18,15,15264,2280,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
4,0,3240,208,"1-3,5-7",0.0,0.22,0.03,0.03,0.0,0.01,0.0,0.0,False
8,2,392,328,"1-3,5-7",0.0,0.2,0.03,0.03,0.0,0.01,0.0,0.0,False
18,15,632,11064,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
11,6,7224,2792,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
15,11,12216,4584,"1-3,5-7",0.0,0.29,0.04,0.04,0.0,0.02,0.0,0.0,False
19,17,696,10296,"1-3,5-7",0.0,0.29,0.04,0.04,0.0,0.02,0.0,0.0,False
15,10,6200,6968,"1-3,5-7",0.0,0.32,0.04,0.04,0.0,0.02,0.0,0.0,False
26,20,25456,14688,"1-3,5-7",0.0,0.38,0.05,0.05,0.0,0.03,0.0,0.0,False
15,9,7992,7224,"1-3,5-7",0.0,0.31,0.04,0.04,0.0,0.02,0.0,0.0,False
3,0,2216,1128,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
6,1,1736,712,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
19,17,17568,2472,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
25,20,16992,7224,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
13,7,3880,6200,"1-3,5-7",0.0,0.29,0.04,0.04,0.0,0.02,0.0,0.0,False
4,0,1064,1288,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
15,11,256,5736,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
13,7,9144,3112,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
8,4,120,1288,"1-3,5-7",0.0,0.23,0.03,0.03,0.0,0.02,0.0,0.0,False
18,14,15840,7480,"1-3,5-7",0.0,0.33,0.04,0.04,0.0,0.02,0.0,0.0,False
24,20,16416,9528,"1-3,5-7",0.0,0.31,0.04,0.04,0.0,0.02,0.0,0.0,False
18,14,1608,6456,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
20,18,4008,14688,"1-3,5-7",0.0,0.33,0.04,0.04,0.0,0.02,0.0,0.0,False
15,11,12216,4264,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
18,14,14688,7736,"1-3,5-7",0.0,0.32,0.04,0.04,0.0,0.02,0.0,0.0,False
7,2,2792,472,"1-3,5-7",0.0,0.23,0.03,0.03,0.0,0.02,0.0,0.0,False
7,2,4968,1320,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
15,12,7480,7736,"1-3,5-7",0.0,0.32,0.04,0.04,0.0,0.02,0.0,0.0,False
5,0,1544,152,"1-3,5-7",0.0,0.21,0.03,0.03,0.0,0.01,0.0,0.0,False
8,4,5992,2664,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
25,20,24496,18336,"1-3,5-7",0.0,0.41,0.05,0.05,0.0,0.03,0.0,0.0,False
13,7,2984,5352,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
7,2,3368,1288,"1-3,5-7",0.0,0.26,0.03,0.03,0.0,0.02,0.0,0.0,False
20,17,11064,9144,"1-3,5-7",0.0,0.32,0.04,0.04,0.0,0.02,0.0,0.0,False
19,17,7224,6712,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
20,18,11832,2280,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
6,1,1864,224,"1-3,5-7",0.0,0.21,0.03,0.03,0.0,0.01,0.0,0.0,False
24,20,12576,15264,"1-3,5-7",0.0,0.36,0.05,0.05,0.0,0.02,0.0,0.0,False
13,8,6712,968,"1-3,5-7",0.0,0.23,0.03,0.03,0.0,0.02,0.0,0.0,False
5,0,1672,1256,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
15,10,8760,1256,"1-3,5-7",0.0,0.24,0.03,0.03,0.0,0.02,0.0,0.0,False
19,17,336,3112,"1-3,5-7",0.0,0.21,0.03,0.03,0.0,0.01,0.0,0.0,False
7,2,328,1480,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
7,2,2088,2216,"1-3,5-7",0.0,0.29,0.04,0.04,0.0,0.02,0.0,0.0,False
5,0,3624,1064,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
26,20,26416,15840,"1-3,5-7",0.0,0.4,0.05,0.05,0.0,0.03,0.0,0.0,False
15,10,12576,1416,"1-3,5-7",0.0,0.26,0.03,0.03,0.0,0.02,0.0,0.0,False
5,0,1544,1032,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
3,0,208,1096,"1-3,5-7",0.0,0.26,0.04,0.04,0.0,0.02,0.0,0.0,False
15,11,10296,5352,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
8,4,6456,3624,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
8,4,3112,2408,"1-3,5-7",0.0,0.26,0.04,0.04,0.0,0.02,0.0,0.0,False
8,4,2792,2472,"1-3,5-7",0.0,0.26,0.04,0.04,0.0,0.02,0.0,0.0,False
15,12,4584,7736,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
25,20,15840,9528,"1-3,5-7",0.0,0.31,0.04,0.04,0.0,0.02,0.0,0.0,False
6,1,1128,680,"1-3,5-7",0.0,0.24,0.03,0.03,0.0,0.02,0.0,0.0,False
7,2,2472,2216,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
3,0,2472,344,"1-3,5-7",0.0,0.24,0.03,0.03,0.0,0.02,0.0,0.0,False
15,12,13536,4584,"1-3,5-7",0.0,0.31,0.04,0.04,0.0,0.02,0.0,0.0,False
11,6,3112,4968,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
10,4,7480,904,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
15,11,12960,6456,"1-3,5-7",0.0,0.33,0.04,0.04,0.0,0.02,0.0,0.0,False
13,7,7992,5160,"1-3,5-7",0.0,0.29,0.04,0.04,0.0,0.02,0.0,0.0,False
15,10,840,1864,"1-3,5-7",0.0,0.21,0.03,0.03,0.0,0.01,0.0,0.0,False
18,15,3624,13536,"1-3,5-7",0.0,0.32,0.04,0.04,0.0,0.02,0.0,0.0,False
11,6,1032,3240,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
20,17,16416,15264,"1-3,5-7",0.0,0.39,0.05,0.05,0.0,0.03,0.0,0.0,False
20,18,12576,4968,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
15,10,7224,6968,"1-3,5-7",0.0,0.32,0.04,0.04,0.0,0.02,0.0,0.0,False
8,2,1256,472,"1-3,5-7",0.0,0.21,0.03,0.03,0.0,0.01,0.0,0.0,False
18,15,9912,1992,"1-3,5-7",0.0,0.26,0.03,0.03,0.0,0.02,0.0,0.0,False
15,10,840,5736,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
11,6,328,5160,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
18,14,6456,2280,"1-3,5-7",0.0,0.24,0.03,0.03,0.0,0.02,0.0,0.0,False
15,10,14112,5352,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
2,0,616,680,"1-3,5-7",0.0,0.26,0.03,0.03,0.0,0.02,0.0,0.0,False
18,15,2600,13536,"1-3,5-7",0.0,0.32,0.04,0.04,0.0,0.02,0.0,0.0,False
26,20,12960,8248,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
20,18,15264,9528,"1-3,5-7",0.0,0.34,0.05,0.05,0.0,0.02,0.0,0.0,False
